twinPointId,Site,Building,Level,Space,Equipment,deviceType,Point,pointType,pointSpecification,hasQuantity,unit,minPresValue,maxPresValue,pointAddress,description
a2f669f1-3af4-4f05-8766-ba4649fc14ab,site_tokyo_001,building_A,level_1F,room_102,lighting_005,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_005_dimmer,dimmer_level,Setpoint,,percent,0,100,AO13,事務室102 照明3 調光レベル
7a5a8c59-e5ec-4aff-92cb-49933de8cccc,site_tokyo_001,building_A,level_1F,room_102,lighting_005,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_005_status,light_status,Status,,,,,DI13,事務室102 照明3 点灯状態
bc1d7bdf-63d0-4cda-8511-d4a1ee023d45,site_tokyo_001,building_A,level_1F,room_102,sensor_003,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_003_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,21,事務室102 環境センサー1 温度
433eb826-e270-4f64-9118-6ff5f15bfcb6,site_tokyo_001,building_A,level_1F,room_102,sensor_003,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_003_humidity,humidity_sensor,Measurement,Relative_Humidity,percent,0,100,22,事務室102 環境センサー1 湿度
1600563b-fee0-4ece-b578-a73e847af50d,site_tokyo_001,building_A,level_1F,room_102,sensor_003,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_003_co2,co2_sensor,Measurement,CO2_Concentration,ppm,0,5000,23,事務室102 環境センサー1 CO2濃度
532243ca-6da7-4fb1-9a68-d11646e6e8b4,site_tokyo_001,building_A,level_1F,room_102,sensor_003,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_003_status,sensor_status,Status,,,,,120,事務室102 環境センサー1 状態
12aacb38-03ec-4752-a1be-ce6f2c3def60,site_tokyo_001,building_A,level_1F,room_102,sensor_004,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_004_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,31,事務室102 環境センサー2 温度
d61e49de-0441-4558-9583-866346968406,site_tokyo_001,building_A,level_1F,room_102,sensor_004,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_004_humidity,humidity_sensor,Measurement,Relative_Humidity,percent,0,100,32,事務室102 環境センサー2 湿度
33b9a597-6d30-4b72-af0b-30046fabc799,site_tokyo_001,building_A,level_1F,room_102,sensor_004,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_004_co2,co2_sensor,Measurement,CO2_Concentration,ppm,0,5000,33,事務室102 環境センサー2 CO2濃度
a9caf759-f6f1-44df-96b5-09c0453380cc,site_tokyo_001,building_A,level_1F,room_102,sensor_004,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_004_status,sensor_status,Status,,,,,130,事務室102 環境センサー2 状態
842b5b36-ef2a-468e-b988-29ca0dc001b4,site_tokyo_001,building_A,level_1F,room_102,sensor_005,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_005_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,41,事務室102 温度センサー3 温度
94977752-13db-494f-b601-76e231bec3a5,site_tokyo_001,building_A,level_1F,room_102,sensor_005,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_005_status,sensor_status,Status,,,,,140,事務室102 温度センサー3 状態
12499806-b5f1-4c42-9d43-43d613063271,site_tokyo_001,building_A,level_1F,room_103,lighting_006,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_006_switch,light_switch,Command,,,,,DO21,受付103 照明1 スイッチ
83856657-b229-4fc1-b59f-d977f1fe8565,site_tokyo_001,building_A,level_1F,room_103,lighting_006,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_006_dimmer,dimmer_level,Setpoint,,percent,0,100,AO21,受付103 照明1 調光レベル
6ec10b7c-e3b5-4e2b-b087-efcc3c8e9930,site_tokyo_001,building_A,level_1F,room_103,lighting_006,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_006_status,light_status,Status,,,,,DI21,受付103 照明1 点灯状態
191c5d0f-1bfc-4f20-a15a-3552e033e43b,site_tokyo_001,building_A,level_1F,room_103,sensor_006,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_006_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,51,受付103 環境センサー1 温度
25945ca2-d0c6-4c05-8485-6bc204f6d08c,site_tokyo_001,building_A,level_1F,room_103,sensor_006,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_006_humidity,humidity_sensor,Measurement,Relative_Humidity,percent,0,100,52,受付103 環境センサー1 湿度
ba78e093-246f-4545-98cc-52b03021d002,site_tokyo_001,building_A,level_1F,room_103,sensor_006,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_006_co2,co2_sensor,Measurement,CO2_Concentration,ppm,0,5000,53,受付103 環境センサー1 CO2濃度
14523729-db82-4fa4-8e65-bb35a0a11f73,site_tokyo_001,building_A,level_1F,room_103,sensor_006,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_006_status,sensor_status,Status,,,,,150,受付103 環境センサー1 状態
644d4873-d647-415c-984d-05b97c1efe8d,site_tokyo_001,building_A,level_1F,room_104,lighting_007,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_007_switch,light_switch,Command,,,,,DO31,倉庫104 照明1 スイッチ
ffca5f81-c479-4e59-8502-d67a235b8013,site_tokyo_001,building_A,level_1F,room_104,lighting_007,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_007_status,light_status,Status,,,,,DI31,倉庫104 照明1 点灯状態
830834a3-ba49-42e9-9ea5-df33b798ef71,site_tokyo_001,building_A,level_1F,room_104,sensor_007,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_007_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,61,倉庫104 温度センサー1 温度
1eeebef5-6209-43eb-b671-86608586c6d5,site_tokyo_001,building_A,level_1F,room_104,sensor_007,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_007_status,sensor_status,Status,,,,,160,倉庫104 温度センサー1 状態
8a2b050d-f459-49e2-9eb0-174875df22df,site_tokyo_001,building_A,level_1F,room_105,pac_004,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_004_power,switch,Command,Active_Power,,,,40501,サーバー室105 エアコン1 電源
6c03d747-a1fb-43a4-b6a6-6950b1e4f020,site_tokyo_001,building_A,level_1F,room_105,pac_004,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_004_mode,operation_mode,Command,,,,,40502,サーバー室105 エアコン1 運転モード
c2439aae-733e-4ef7-a996-9613b39496c9,site_tokyo_001,building_A,level_1F,room_105,pac_004,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_004_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,40503,サーバー室105 エアコン1 設定温度
687cc58a-2427-4661-bcb6-df4ab355cd08,site_tokyo_001,building_A,level_1F,room_105,pac_004,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_004_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,30501,サーバー室105 エアコン1 吸込温度
9998b89d-d3d1-450d-925d-69cec6e55c56,site_tokyo_001,building_A,level_1F,room_105,pac_004,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_004_status,operation_status,Status,,,,,10501,サーバー室105 エアコン1 運転状態
2496f06c-252f-4851-875f-69fd3dbeb393,site_tokyo_001,building_A,level_1F,room_105,pac_005,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_005_power,switch,Command,Active_Power,,,,40511,サーバー室105 エアコン2 電源
91981fef-f754-4ee8-93f2-7f0cca3bfbc2,site_tokyo_001,building_A,level_1F,room_105,pac_005,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_005_mode,operation_mode,Command,,,,,40512,サーバー室105 エアコン2 運転モード
b1ba1949-c8d4-4ddd-9fc1-c5ef48228fab,site_tokyo_001,building_A,level_1F,room_105,pac_005,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_005_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,40513,サーバー室105 エアコン2 設定温度
c30100e7-7a10-4dde-91f3-859ebcdc4c4a,site_tokyo_001,building_A,level_1F,room_105,pac_005,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_005_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,30511,サーバー室105 エアコン2 吸込温度
5ec031e1-5fcc-4d39-b252-162650da318c,site_tokyo_001,building_A,level_1F,room_105,pac_005,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_005_status,operation_status,Status,,,,,10511,サーバー室105 エアコン2 運転状態
4615d163-cfd3-41a8-a9e0-ef80c6110692,site_tokyo_001,building_A,level_1F,room_105,lighting_008,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_008_switch,light_switch,Command,,,,,DO41,サーバー室105 照明1 スイッチ
ca534a73-e7b1-46ac-b2d1-003745d66b1a,site_tokyo_001,building_A,level_1F,room_105,lighting_008,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_008_status,light_status,Status,,,,,DI41,サーバー室105 照明1 点灯状態
92899bd3-44b1-4210-ac65-7b839ec452c9,site_tokyo_001,building_A,level_1F,room_105,sensor_008,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_008_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,71,サーバー室105 環境センサー1 温度
4dd1b14b-81ef-402a-ac34-933910dad6a6,site_tokyo_001,building_A,level_1F,room_105,sensor_008,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_008_humidity,humidity_sensor,Measurement,Relative_Humidity,percent,0,100,72,サーバー室105 環境センサー1 湿度
56a4756f-1118-4159-8fcb-482347bcbb12,site_tokyo_001,building_A,level_1F,room_105,sensor_008,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_008_co2,co2_sensor,Measurement,CO2_Concentration,ppm,0,5000,73,サーバー室105 環境センサー1 CO2濃度
ba31083f-9c13-4e99-b972-091ba91bf243,site_tokyo_001,building_A,level_1F,room_105,sensor_008,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_008_status,sensor_status,Status,,,,,170,サーバー室105 環境センサー1 状態
07ee560b-5434-41f3-b579-56cb22eb2552,site_tokyo_001,building_A,level_1F,room_105,sensor_009,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_009_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,81,サーバー室105 温度センサー2 温度
37f291c8-993c-4193-9f2d-66c3122c4239,site_tokyo_001,building_A,level_1F,room_105,sensor_009,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_009_status,sensor_status,Status,,,,,180,サーバー室105 温度センサー2 状態
92fe7938-7fbb-41b1-ab81-ea3e283b28a9,site_tokyo_001,building_A,level_1F,room_105,sensor_010,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_010_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,91,サーバー室105 温度センサー3 温度
760c86d0-57a6-4e84-8759-4e8473bbc145,site_tokyo_001,building_A,level_1F,room_105,sensor_010,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_010_status,sensor_status,Status,,,,,190,サーバー室105 温度センサー3 状態
0fcb1c9e-78af-416d-9f21-8b32dd5a858d,site_tokyo_001,building_A,level_1F,room_105,sensor_011,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_011_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,101,サーバー室105 温度センサー4 温度
27f7d3c0-ebe3-4c90-a261-2917ec5d4b37,site_tokyo_001,building_A,level_1F,room_105,sensor_011,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_011_status,sensor_status,Status,,,,,200,サーバー室105 温度センサー4 状態
1444a4cb-4706-4112-a803-a2d9382e291f,site_tokyo_001,building_A,level_1F,room_106,pac_006,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_006_power,switch,Command,Active_Power,,,,40601,休憩室106 エアコン1 電源
d5c774ed-30fe-43f0-9848-8deef08bd7f5,site_tokyo_001,building_A,level_1F,room_106,pac_006,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_006_mode,operation_mode,Command,,,,,40602,休憩室106 エアコン1 運転モード
c9c35d7e-1a7a-4524-81a1-6c62fa1205f5,site_tokyo_001,building_A,level_1F,room_106,pac_006,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_006_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,40603,休憩室106 エアコン1 設定温度
a9ae5b0b-b1ad-479a-b21c-9ef5ecd52f1e,site_tokyo_001,building_A,level_1F,room_106,pac_006,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_006_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,30601,休憩室106 エアコン1 吸込温度
1f949ce3-dfef-4ca6-9738-4aa8f9e1080a,site_tokyo_001,building_A,level_1F,room_106,pac_006,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_006_status,operation_status,Status,,,,,10601,休憩室106 エアコン1 運転状態
d15c5332-0020-4afe-94d8-aac8d15fc081,site_tokyo_001,building_A,level_1F,room_106,lighting_009,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_009_switch,light_switch,Command,,,,,DO51,休憩室106 照明1 スイッチ
7b171769-1499-4ac4-9a53-9d0af12a85ca,site_tokyo_001,building_A,level_1F,room_106,lighting_009,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_009_dimmer,dimmer_level,Setpoint,,percent,0,100,AO51,休憩室106 照明1 調光レベル
4f32da6c-7ced-4584-b1e2-1566d2d88330,site_tokyo_001,building_A,level_1F,room_106,lighting_009,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_009_status,light_status,Status,,,,,DI51,休憩室106 照明1 点灯状態
a9e3705b-fafa-47e9-99e2-edce8a8e6fe2,site_tokyo_001,building_A,level_1F,room_106,sensor_012,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_012_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,111,休憩室106 環境センサー1 温度
5a0f5c02-1ad1-45f6-9b77-7b8c5bba37a9,site_tokyo_001,building_A,level_1F,room_106,sensor_012,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_012_humidity,humidity_sensor,Measurement,Relative_Humidity,percent,0,100,112,休憩室106 環境センサー1 湿度
abb4dbdd-f5e7-4b10-969a-5ebdc5dac48a,site_tokyo_001,building_A,level_1F,room_106,sensor_012,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_012_co2,co2_sensor,Measurement,CO2_Concentration,ppm,0,5000,113,休憩室106 環境センサー1 CO2濃度
7fdaa47d-b79f-4e42-88d4-dbf688cc43b6,site_tokyo_001,building_A,level_1F,room_106,sensor_012,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_012_status,sensor_status,Status,,,,,210,休憩室106 環境センサー1 状態
fabe1c16-1236-46a7-85dd-feeaa85d69b1,site_tokyo_001,building_A,level_1F,room_106,sensor_013,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_013_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,121,休憩室106 温度センサー2 温度
e66c950b-d666-4620-a578-e929f90436e4,site_tokyo_001,building_A,level_1F,room_106,sensor_013,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_013_status,sensor_status,Status,,,,,220,休憩室106 温度センサー2 状態
21ef92e7-212f-4834-a0bb-d650713691d3,site_tokyo_001,building_A,level_2F,room_201,pac_007,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_007_power,switch,Command,Active_Power,,,,41001,大会議室201 エアコン1 電源
233372d9-c55f-401a-b8a4-b8d66cb54d53,site_tokyo_001,building_A,level_2F,room_201,pac_007,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_007_mode,operation_mode,Command,,,,,41002,大会議室201 エアコン1 運転モード
227a12c5-c244-4c7f-9db4-5395f4fb4101,site_tokyo_001,building_A,level_2F,room_201,pac_007,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_007_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,41003,大会議室201 エアコン1 設定温度
91dc19cd-3ad4-4f52-86c7-10dde94fbefa,site_tokyo_001,building_A,level_2F,room_201,pac_007,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_007_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,31001,大会議室201 エアコン1 吸込温度
586eac79-5060-483f-a09a-14baead0e228,site_tokyo_001,building_A,level_2F,room_201,pac_007,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_007_status,operation_status,Status,,,,,11001,大会議室201 エアコン1 運転状態
9bc19746-0808-401c-a818-ffc96507bc4f,site_tokyo_001,building_A,level_2F,room_201,pac_008,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_008_power,switch,Command,Active_Power,,,,41011,大会議室201 エアコン2 電源
5a2de6d9-41e7-4ad2-96a2-077f89f6f100,site_tokyo_001,building_A,level_2F,room_201,pac_008,dtmi:sbco:equipment:PackageAirConditioner:PAC_56GV:1,pac_008_mode,operation_mode,Command,,,,,41012,大会議室201 エアコン2 運転モード
